code,descriptive statistics,counterfactual analysis,anchor,LIME,waterfall,bee swarm,text slides,box plots,histograms,distribution of features,participant_id
affects > overwhelming,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
affects > overwhelming > uncertainty,1,1,1,1,0,0,1,1,1,1,DR_SSH_01
affects > overwhelming > confusion,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
affects > overwhelming > tiredness,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
affects > surprise,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides > descriptive statistics,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides > counterfactual analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides > anchor,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides > lime,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides > waterfall,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides > bee swarm,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides > text slides,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
slides > box plots,0,0,0,0,0,0,0,0,1,0,DR_SSH_01
slides > histograms,0,0,0,0,0,0,0,1,0,0,DR_SSH_01
slides > distribution of features,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
knowledge and experience,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
knowledge and experience > knowledge and experience in fungi,0,1,0,3,1,0,1,0,0,0,DR_SSH_01
knowledge and experience > knowledge and experience in fungi > names and species of fungi,0,0,0,1,0,0,0,0,0,0,DR_SSH_01
knowledge and experience > knowledge and experience in visualizations and analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
knowledge and experience > knowledge and experience in analysing human behaviour,0,1,0,1,0,0,0,0,0,0,DR_SSH_01
recommendations,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
recommendations > change of visualisation scheme,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
recommendations > supplementary materials,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
recommendations > graphics,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
evaluation criteria,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
evaluation criteria > credibility,0,0,0,0,2,1,1,0,0,0,DR_SSH_01
evaluation criteria > efficiency,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
evaluation criteria > precision,0,0,0,0,1,1,1,0,0,0,DR_SSH_01
evaluation criteria > similarity,0,0,2,0,0,0,0,0,0,0,DR_SSH_01
evaluation criteria > appropriateness,0,1,0,2,1,0,0,0,0,0,DR_SSH_01
evaluation criteria > representativeness,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
evaluation criteria > comprehensibility,0,1,3,1,2,2,1,1,1,1,DR_SSH_01
evaluation criteria > unreadability,1,4,0,0,0,0,0,1,1,1,DR_SSH_01
evaluation criteria > importance,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
evaluation criteria > accuracy,0,0,0,1,0,0,0,0,0,0,DR_SSH_01
evaluation criteria > uselessness,0,1,0,0,0,0,0,0,0,0,DR_SSH_01
data and features,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
data and features > lack of significant features,0,0,0,1,0,0,0,0,0,0,DR_SSH_01
data and features > feature significance,0,1,4,3,2,1,0,0,0,0,DR_SSH_01
data and features > lack of appropriate data,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
data and features > understanding of annotations,0,2,0,0,1,1,0,2,2,1,DR_SSH_01
data and features > understanding of data gaps,0,0,0,0,0,0,0,0,0,0,DR_SSH_01
data and features > legend,0,1,0,0,0,0,0,1,1,0,DR_SSH_01
data and features > coordinate axes,0,0,0,0,0,0,0,1,1,0,DR_SSH_01
expectations,0,0,1,1,0,1,0,0,0,0,DR_SSH_02
trust,0,1,0,1,1,0,1,0,0,0,DR_SSH_02
barriers,0,0,0,0,0,0,0,1,1,1,DR_SSH_02
barriers > concerns,0,3,1,0,0,0,0,0,0,0,DR_SSH_02
methods of analysis,1,0,0,0,0,0,0,0,0,0,DR_SSH_02
methods of analysis > example analysis,0,0,1,7,2,2,0,0,0,2,DR_SSH_02
methods of analysis > difficulties,0,0,0,0,3,1,0,1,1,1,DR_SSH_02
methods of analysis > discrepancies,0,1,2,0,3,0,0,0,0,0,DR_SSH_02
methods of analysis > thoroughness,0,0,0,0,3,0,0,0,0,2,DR_SSH_02
methods of analysis > reflection time,0,1,0,0,1,0,0,0,0,0,DR_SSH_02
methods of analysis > variability of decisions or evaluations,0,0,1,0,1,1,0,0,0,0,DR_SSH_02
personification,0,2,0,0,0,0,0,0,0,0,DR_SSH_02
metaphorization,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
associations,3,4,1,5,6,4,1,0,0,4,DR_SSH_02
associations > image of a toadstool,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
negative reception,1,3,0,0,2,2,1,2,2,4,DR_SSH_02
positive reception,0,1,0,3,2,0,3,0,0,0,DR_SSH_02
aesthetics,0,0,0,0,1,0,2,0,0,0,DR_SSH_02
aesthetics > font size,0,0,0,0,0,0,1,0,0,1,DR_SSH_02
aesthetics > layout,0,0,0,0,0,3,0,0,0,2,DR_SSH_02
aesthetics > colour scheme,0,0,2,0,1,0,0,2,2,4,DR_SSH_02
affects,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
affects > nervousness,0,0,0,0,0,0,1,0,0,0,DR_SSH_02
affects > interest,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
affects > reluctance,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
affects > overwhelming,0,0,0,0,0,1,0,0,0,0,DR_SSH_02
affects > overwhelming > uncertainty,2,0,1,1,1,1,0,1,2,1,DR_SSH_02
affects > overwhelming > confusion,0,0,0,1,0,1,0,0,0,2,DR_SSH_02
affects > overwhelming > tiredness,0,0,0,1,0,0,0,0,0,0,DR_SSH_02
affects > surprise,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
slides,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
slides > descriptive statistics,0,0,0,0,0,0,0,0,0,1,DR_SSH_02
slides > counterfactual analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
slides > anchor,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
slides > lime,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
slides > waterfall,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
slides > bee swarm,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
slides > text slides,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
slides > box plots,0,0,0,0,0,0,0,0,3,0,DR_SSH_02
slides > histograms,0,0,0,0,0,0,0,3,0,0,DR_SSH_02
slides > distribution of features,1,0,0,0,0,0,0,0,0,0,DR_SSH_02
knowledge and experience,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
knowledge and experience > knowledge and experience in fungi,0,0,0,0,0,1,0,0,0,0,DR_SSH_02
knowledge and experience > knowledge and experience in fungi > names and species of fungi,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
knowledge and experience > knowledge and experience in visualizations and analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
knowledge and experience > knowledge and experience in analysing human behaviour,0,0,0,1,0,0,0,0,0,4,DR_SSH_02
recommendations,1,0,0,0,2,1,4,0,1,7,DR_SSH_02
recommendations > change of visualisation scheme,1,0,0,0,3,1,2,2,2,9,DR_SSH_02
recommendations > supplementary materials,2,0,0,0,1,0,0,0,0,1,DR_SSH_02
recommendations > graphics,1,0,0,0,0,0,0,0,0,1,DR_SSH_02
evaluation criteria,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
evaluation criteria > credibility,0,2,1,0,2,0,1,0,0,0,DR_SSH_02
evaluation criteria > efficiency,0,1,0,6,3,0,0,0,0,0,DR_SSH_02
evaluation criteria > precision,0,1,0,0,3,0,1,0,0,0,DR_SSH_02
evaluation criteria > similarity,0,0,0,2,2,0,0,0,0,0,DR_SSH_02
evaluation criteria > appropriateness,0,2,1,0,1,0,1,0,0,0,DR_SSH_02
evaluation criteria > representativeness,0,1,0,0,0,1,0,0,0,0,DR_SSH_02
evaluation criteria > comprehensibility,1,1,1,7,5,1,2,0,0,6,DR_SSH_02
evaluation criteria > unreadability,3,0,2,1,6,4,0,2,5,7,DR_SSH_02
evaluation criteria > importance,0,0,0,3,0,0,1,0,0,0,DR_SSH_02
evaluation criteria > accuracy,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
evaluation criteria > uselessness,1,1,1,0,2,1,0,1,1,2,DR_SSH_02
data and features,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
data and features > lack of significant features,0,0,1,0,0,0,0,0,0,0,DR_SSH_02
data and features > feature significance,0,0,4,3,5,2,0,0,0,0,DR_SSH_02
data and features > lack of appropriate data,0,0,0,0,0,0,0,0,0,0,DR_SSH_02
data and features > understanding of annotations,1,0,3,4,3,4,0,0,1,3,DR_SSH_02
data and features > understanding of data gaps,1,0,2,0,0,1,0,0,0,6,DR_SSH_02
data and features > legend,2,0,0,1,0,0,0,0,0,1,DR_SSH_02
data and features > coordinate axes,0,0,0,3,5,0,0,2,3,11,DR_SSH_02
expectations,1,0,0,0,1,0,0,0,0,0,DR_SSH_03
trust,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
barriers,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
barriers > concerns,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
methods of analysis,1,2,1,1,1,3,2,1,1,1,DR_SSH_03
methods of analysis > example analysis,0,0,0,4,0,1,0,0,0,0,DR_SSH_03
methods of analysis > difficulties,0,1,1,0,0,1,0,0,0,0,DR_SSH_03
methods of analysis > discrepancies,0,1,1,0,0,1,0,0,0,0,DR_SSH_03
methods of analysis > thoroughness,0,0,1,3,0,0,0,0,0,1,DR_SSH_03
methods of analysis > reflection time,0,2,0,1,1,0,0,1,1,0,DR_SSH_03
methods of analysis > variability of decisions or evaluations,1,0,0,0,0,0,0,0,0,1,DR_SSH_03
personification,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
metaphorization,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
associations,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
associations > image of a toadstool,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
negative reception,0,1,0,0,0,0,0,0,0,0,DR_SSH_03
positive reception,0,1,0,0,0,0,1,0,0,0,DR_SSH_03
aesthetics,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
aesthetics > font size,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
aesthetics > layout,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
aesthetics > colour scheme,0,0,2,0,0,0,0,0,0,0,DR_SSH_03
affects,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
affects > nervousness,0,0,0,0,1,0,0,0,0,0,DR_SSH_03
affects > interest,0,0,1,1,0,0,0,0,0,0,DR_SSH_03
affects > reluctance,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
affects > overwhelming,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
affects > overwhelming > uncertainty,1,1,1,3,4,1,0,4,4,0,DR_SSH_03
affects > overwhelming > confusion,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
affects > overwhelming > tiredness,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
affects > surprise,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
slides,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
slides > descriptive statistics,0,0,0,0,0,0,0,0,0,1,DR_SSH_03
slides > counterfactual analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
slides > anchor,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
slides > lime,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
slides > waterfall,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
slides > bee swarm,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
slides > text slides,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
slides > box plots,0,0,0,0,0,0,0,0,5,0,DR_SSH_03
slides > histograms,0,0,0,0,0,0,0,5,0,0,DR_SSH_03
slides > distribution of features,1,0,0,0,0,0,0,0,0,0,DR_SSH_03
knowledge and experience,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
knowledge and experience > knowledge and experience in fungi,1,2,0,2,3,0,0,0,0,0,DR_SSH_03
knowledge and experience > knowledge and experience in fungi > names and species of fungi,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
knowledge and experience > knowledge and experience in visualizations and analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
knowledge and experience > knowledge and experience in analysing human behaviour,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
recommendations,2,0,1,0,0,0,0,2,3,2,DR_SSH_03
recommendations > change of visualisation scheme,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
recommendations > supplementary materials,0,0,0,0,0,1,0,0,2,0,DR_SSH_03
recommendations > graphics,1,0,0,0,0,0,0,0,0,0,DR_SSH_03
evaluation criteria,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
evaluation criteria > credibility,1,0,0,0,0,0,3,0,0,0,DR_SSH_03
evaluation criteria > efficiency,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
evaluation criteria > precision,2,0,0,0,0,0,4,0,0,0,DR_SSH_03
evaluation criteria > similarity,0,0,4,0,0,0,0,0,0,1,DR_SSH_03
evaluation criteria > appropriateness,0,1,0,1,1,0,0,0,0,0,DR_SSH_03
evaluation criteria > representativeness,0,1,0,0,1,0,1,0,0,0,DR_SSH_03
evaluation criteria > comprehensibility,0,0,2,0,0,0,2,0,0,1,DR_SSH_03
evaluation criteria > unreadability,0,0,1,0,0,0,0,0,0,0,DR_SSH_03
evaluation criteria > importance,0,0,0,1,0,0,0,0,0,0,DR_SSH_03
evaluation criteria > accuracy,0,1,0,1,1,0,0,0,0,0,DR_SSH_03
evaluation criteria > uselessness,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
data and features,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
data and features > lack of significant features,0,0,0,0,0,0,0,0,0,0,DR_SSH_03
data and features > feature significance,0,1,4,2,6,4,0,0,0,2,DR_SSH_03
data and features > lack of appropriate data,0,0,1,0,0,0,0,0,0,0,DR_SSH_03
data and features > understanding of annotations,1,0,4,1,2,4,0,4,4,7,DR_SSH_03
data and features > understanding of data gaps,5,0,4,0,0,0,0,0,0,3,DR_SSH_03
data and features > legend,0,0,2,0,0,0,0,0,1,0,DR_SSH_03
data and features > coordinate axes,0,0,0,0,0,0,0,5,6,1,DR_SSH_03
expectations,0,0,0,1,0,2,0,0,0,0,DR_SSH_04
trust,0,1,0,1,1,1,0,0,0,0,DR_SSH_04
barriers,0,0,0,0,0,2,0,0,0,0,DR_SSH_04
barriers > concerns,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
methods of analysis,0,1,2,1,0,1,0,0,0,0,DR_SSH_04
methods of analysis > example analysis,0,0,0,2,0,0,0,0,0,0,DR_SSH_04
methods of analysis > difficulties,3,2,0,1,1,2,0,1,1,0,DR_SSH_04
methods of analysis > discrepancies,1,0,0,0,0,0,0,0,0,0,DR_SSH_04
methods of analysis > thoroughness,2,1,2,0,0,1,0,0,0,1,DR_SSH_04
methods of analysis > reflection time,1,0,1,0,1,0,0,0,0,1,DR_SSH_04
methods of analysis > variability of decisions or evaluations,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
personification,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
metaphorization,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
associations,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
associations > image of a toadstool,0,1,0,0,0,0,0,0,0,0,DR_SSH_04
negative reception,1,0,1,1,0,1,0,1,1,2,DR_SSH_04
positive reception,0,1,0,1,0,2,0,0,0,0,DR_SSH_04
aesthetics,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
aesthetics > font size,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
aesthetics > layout,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
aesthetics > colour scheme,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
affects,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
affects > nervousness,0,0,1,0,0,1,0,0,0,0,DR_SSH_04
affects > interest,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
affects > reluctance,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
affects > overwhelming,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
affects > overwhelming > uncertainty,3,0,0,2,1,1,0,1,1,1,DR_SSH_04
affects > overwhelming > confusion,0,0,0,0,0,0,0,0,0,1,DR_SSH_04
affects > overwhelming > tiredness,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
affects > surprise,0,0,0,0,0,1,0,0,0,0,DR_SSH_04
slides,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
slides > descriptive statistics,0,0,0,0,1,0,0,0,0,1,DR_SSH_04
slides > counterfactual analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
slides > anchor,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
slides > lime,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
slides > waterfall,1,0,0,0,0,0,0,0,0,0,DR_SSH_04
slides > bee swarm,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
slides > text slides,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
slides > box plots,0,0,0,0,0,0,0,0,5,0,DR_SSH_04
slides > histograms,0,0,0,0,0,0,0,5,0,0,DR_SSH_04
slides > distribution of features,1,0,0,0,0,0,0,0,0,0,DR_SSH_04
knowledge and experience,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
knowledge and experience > knowledge and experience in fungi,1,2,0,3,1,1,0,0,0,1,DR_SSH_04
knowledge and experience > knowledge and experience in fungi > names and species of fungi,0,2,0,0,0,0,0,0,0,0,DR_SSH_04
knowledge and experience > knowledge and experience in visualizations and analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
knowledge and experience > knowledge and experience in analysing human behaviour,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
recommendations,0,1,1,0,0,0,0,2,2,1,DR_SSH_04
recommendations > change of visualisation scheme,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
recommendations > supplementary materials,0,0,2,0,0,0,0,4,4,1,DR_SSH_04
recommendations > graphics,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
evaluation criteria,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
evaluation criteria > credibility,0,0,0,0,0,1,0,0,0,0,DR_SSH_04
evaluation criteria > efficiency,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
evaluation criteria > precision,1,0,1,0,0,0,2,0,0,2,DR_SSH_04
evaluation criteria > similarity,3,0,0,0,1,0,0,0,0,1,DR_SSH_04
evaluation criteria > appropriateness,0,1,2,1,0,1,0,0,0,0,DR_SSH_04
evaluation criteria > representativeness,0,1,0,0,0,1,1,0,0,0,DR_SSH_04
evaluation criteria > comprehensibility,0,0,1,0,0,1,0,0,0,0,DR_SSH_04
evaluation criteria > unreadability,2,6,0,2,1,4,0,2,2,5,DR_SSH_04
evaluation criteria > importance,0,1,0,1,1,0,0,0,0,0,DR_SSH_04
evaluation criteria > accuracy,0,1,0,0,0,0,0,0,0,0,DR_SSH_04
evaluation criteria > uselessness,2,1,0,0,0,0,0,2,2,0,DR_SSH_04
data and features,0,0,0,0,0,0,0,0,0,0,DR_SSH_04
data and features > lack of significant features,0,0,0,0,0,1,0,0,0,0,DR_SSH_04
data and features > feature significance,1,0,2,1,2,1,0,0,0,1,DR_SSH_04
data and features > lack of appropriate data,0,1,0,0,0,0,0,1,1,0,DR_SSH_04
data and features > understanding of annotations,3,2,0,2,2,1,0,1,1,7,DR_SSH_04
data and features > understanding of data gaps,2,0,0,0,0,0,0,0,0,3,DR_SSH_04
data and features > legend,0,0,0,0,1,2,0,4,4,2,DR_SSH_04
data and features > coordinate axes,0,1,0,0,0,0,0,4,4,5,DR_SSH_04
expectations,0,0,0,0,0,0,0,0,0,0,DR_IT_05
trust,0,0,0,0,0,0,0,0,0,0,DR_IT_05
barriers,0,0,0,0,0,0,0,0,0,0,DR_IT_05
barriers > concerns,0,0,0,0,0,0,0,0,0,0,DR_IT_05
methods of analysis,0,0,0,0,0,0,0,0,0,0,DR_IT_05
methods of analysis > example analysis,0,0,3,3,1,2,0,0,0,0,DR_IT_05
methods of analysis > difficulties,0,0,0,0,0,1,0,0,0,0,DR_IT_05
methods of analysis > discrepancies,0,0,0,0,0,0,0,0,0,0,DR_IT_05
methods of analysis > thoroughness,0,0,0,0,0,0,0,0,0,0,DR_IT_05
methods of analysis > reflection time,0,0,0,0,0,0,0,1,1,0,DR_IT_05
methods of analysis > variability of decisions or evaluations,0,0,0,0,0,0,0,0,0,0,DR_IT_05
personification,0,0,0,0,0,0,0,0,0,0,DR_IT_05
metaphorization,0,0,0,0,0,0,0,0,0,0,DR_IT_05
associations,0,0,0,0,0,0,0,0,0,0,DR_IT_05
associations > image of a toadstool,0,0,0,0,0,0,0,0,0,0,DR_IT_05
negative reception,0,0,0,0,0,0,0,0,0,0,DR_IT_05
positive reception,0,0,0,0,0,0,0,0,0,0,DR_IT_05
aesthetics,0,0,0,0,0,0,0,0,0,0,DR_IT_05
aesthetics > font size,0,0,0,0,0,0,0,0,0,0,DR_IT_05
aesthetics > layout,0,0,0,0,0,0,0,0,0,0,DR_IT_05
aesthetics > colour scheme,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects > nervousness,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects > interest,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects > reluctance,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects > overwhelming,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects > overwhelming > uncertainty,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects > overwhelming > confusion,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects > overwhelming > tiredness,0,0,0,0,0,0,0,0,0,0,DR_IT_05
affects > surprise,0,0,0,0,0,0,0,0,0,0,DR_IT_05
slides,0,0,0,0,0,0,0,0,0,0,DR_IT_05
slides > descriptive statistics,0,0,0,0,0,0,0,0,0,0,DR_IT_05
slides > counterfactual analysis,0,0,0,0,0,0,0,0,0,0,DR_IT_05
slides > anchor,0,0,0,3,1,2,0,0,0,0,DR_IT_05
slides > lime,0,0,3,0,1,2,0,0,0,0,DR_IT_05
slides > waterfall,0,0,1,1,0,1,0,0,0,0,DR_IT_05
slides > bee swarm,0,0,2,2,1,0,0,0,0,0,DR_IT_05
slides > text slides,0,0,0,0,0,0,0,0,0,0,DR_IT_05
slides > box plots,0,0,0,0,0,0,0,0,1,0,DR_IT_05
slides > histograms,0,0,0,0,0,0,0,1,0,0,DR_IT_05
slides > distribution of features,0,0,0,0,0,0,0,0,0,0,DR_IT_05
knowledge and experience,0,0,0,0,0,0,0,0,0,0,DR_IT_05
knowledge and experience > knowledge and experience in fungi,0,0,0,0,0,0,0,0,0,0,DR_IT_05
knowledge and experience > knowledge and experience in fungi > names and species of fungi,0,0,0,0,0,0,0,0,0,0,DR_IT_05
knowledge and experience > knowledge and experience in visualizations and analysis,0,0,0,0,0,0,0,0,0,0,DR_IT_05
knowledge and experience > knowledge and experience in analysing human behaviour,0,0,0,0,0,0,0,0,0,0,DR_IT_05
recommendations,0,0,0,0,0,0,0,0,0,0,DR_IT_05
recommendations > change of visualisation scheme,0,0,0,0,0,0,0,0,0,0,DR_IT_05
recommendations > supplementary materials,0,0,0,0,1,0,0,0,0,0,DR_IT_05
recommendations > graphics,0,0,0,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria,0,0,0,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria > credibility,0,0,0,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria > efficiency,0,0,1,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria > precision,0,0,0,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria > similarity,0,0,0,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria > appropriateness,0,0,3,3,1,2,0,1,0,0,DR_IT_05
evaluation criteria > representativeness,0,0,0,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria > comprehensibility,0,1,1,0,0,1,0,1,1,0,DR_IT_05
evaluation criteria > unreadability,0,0,0,0,0,0,0,1,1,0,DR_IT_05
evaluation criteria > importance,0,0,0,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria > accuracy,0,0,0,0,0,0,0,0,0,0,DR_IT_05
evaluation criteria > uselessness,0,0,0,0,0,0,0,0,0,0,DR_IT_05
data and features,0,0,0,0,0,0,0,0,0,0,DR_IT_05
data and features > lack of significant features,0,0,0,0,0,0,0,0,0,0,DR_IT_05
data and features > feature significance,0,0,1,0,0,0,0,1,1,0,DR_IT_05
data and features > lack of appropriate data,0,0,0,0,0,0,0,0,0,0,DR_IT_05
data and features > understanding of annotations,0,0,1,0,0,0,0,2,1,0,DR_IT_05
data and features > understanding of data gaps,0,0,0,0,0,0,0,0,0,0,DR_IT_05
data and features > legend,0,0,0,0,0,0,0,0,0,0,DR_IT_05
data and features > coordinate axes,0,0,0,0,0,0,0,0,0,0,DR_IT_05
expectations,0,0,0,0,0,0,0,0,0,0,DR_SSH_06
trust,0,0,0,0,0,0,0,0,0,0,DR_SSH_06
barriers,0,0,0,0,0,0,0,0,0,0,DR_SSH_06
barriers > concerns,0,0,0,0,0,0,0,0,0,0,DR_SSH_06
methods of analysis,0,0,0,0,0,0,0,0,0,0,DR_SSH_06
