"code","memo"
"knowledge and experience > knowledge and experience in fungi","this includes excerpts where respondents refer to their understanding of fungi, their characteristics, classification, or identification, it may encompass both amateur and professional mycological experience, familiarity with scientific literature, applied identification methods, or previous use of tools supporting fungal identification, additionally, this code includes personal perceptions and beliefs about fungi, which may not necessarily be scientifically accurate but are considered true by respondents, it also covers experiences related to mushroom foraging with family or friends, as well as oral knowledge and stories about fungi that respondents remember from conversations and traditional narratives"
"knowledge and experience > knowledge and experience in fungi > names and species of fungi","familiarity with fungal names and species, this includes excerpts where respondents refer to their knowledge of specific fungal names (both common and scientific) and their species characteristics"
"knowledge and experience > knowledge and experience in visualizations and analysis","this includes excerpts where respondents refer to their prior experience in interpreting visualizations, analyzing data, and understanding graphs, infographics, or other visual tools, it may encompass academic, professional, or self-taught experience in data analysis, reading charts, and interpreting results presented in a visual format"
"knowledge and experience > knowledge and experience in analysing human behaviour","any consideration of how people (in general) perceive some messages, analyse information, how their perception works or what habits the researcher himself has in this regard (this does not include habits in terms of knowledge and experience of mushrooms, there is a separate code for this)"
"recommendations","general recommendations for improving explanations"
"recommendations > change of visualisation scheme","suggestions for changes in the XAI techniques, e.g. give statistics in a table, suggestion to break down the distribution of traits into edible and poisonous, fewer graphs per slide (distribution of traits, histograms)"
"recommendations > supplementary materials","additional explanation, footnote, link, etc."
"recommendations > graphics","referring to photos/graphics when distinguishing between fungi, e.g. postulating the addition of photos of fungi, assuming that the data are graphical (that the model recognises fungi from the graphics), etc."
"evaluation criteria","general, overarching code for evaluation criteria of explanations"
"evaluation criteria > credibility","perceived trustworthiness and reliability of explanations, includes respondents' assessments of whether the explanations seem credible, trustworthy, and believable based on their knowledge and expectations"
"evaluation criteria > efficiency","the effectiveness of the explanations with regard to the decision to classify the fungus"
"evaluation criteria > precision","clarity of explanation, accuracy, including as regards comprehension and decision-making"
"evaluation criteria > similarity","similarity in explanations, comparison in context to visualisation"
"evaluation criteria > appropriateness","compatibility in knowledge, compatibility with information obtained from AI"
"evaluation criteria > representativeness","with regard to the fungi species included in the visualisations and the model, specific fungi species, compliance with fungi knowledge"
"evaluation criteria > comprehensibility","suggested changes, choice of explainers, understanding something"
"evaluation criteria > unreadability","misunderstanding, declaration of lack of understanding "
"evaluation criteria > importance","relevance of the objectives, properties, characteristics in relation to AI and knowledge of fungi"
"evaluation criteria > accuracy","correctness of data, correctness of classification (e.g. examples)"
"evaluation criteria > uselessness","declaration of the unsuitability of selected explanatory notes/slides or of specific elements within the slides (e.g. unsuitability of the text description for the anchor)"
"data and features","overarching, general code for labeling data and variable fragments"
"data and features > lack of significant features","identification of characteristics that are not present in the collection/results, but are important for fungal differentiation"
"data and features > feature significance","importance of features, important features"
"data and features > lack of appropriate data","lack of data (to make a decision); e.g. small amount of data"
"data and features > understanding of annotations","passages relating to the understanding of the annotation (or lack of understanding)"
"data and features > understanding of data gaps","passages relating to the understanding of lack of data"
"data and features > legend","comments on the legends, or lack thereof, in the context of the various explanations"
"data and features > coordinate axes","comments on the coordinate axes"
