__utt_id,participant_group,transcript_id,explanation_format,explanation_theme,is_explanation_slide,challenge_hits,incomprehension_hits,text_pl,text_en,context_pl,context_en
DR_IT_05:18,IT,DR_IT_05,context,,False,1,0,"  Stwierdzi pani, że coś jest niepotrzebne. Wówczas przerzucamy dany slajd za ten Czarny, który się znajduje. Dodatkowo, jeżeli przyjdzie Pani  coś do głowy, na przykład jakieś treści na slajdzie są zbędne, albo chciałaby pani coś dodać poniżej slajdu mamy widok notatek tam gdzie jest ten napis włóczykj, tam możemy dodawać dokładnie taki sam tryb będzie uruchomiony w tej właściwej prezentacji do badań.","You're going to say something's unnecessary. That's when we switch the slide over to the black one that's there. Additionally, if you come up with something, like some of the content on the slide is unnecessary, or you want to add something under the slide, we have a note view where that wire inscription is, we can add exactly the same mode that will run in that proper presentation for the research.","  On nam jest potrzebny do tego, żeby obdzielić treści, które są. ||   w tej Prezentacji od tych, które chciałaby pani na przykład wyrzucić, więc jeżeli w trakcie badania w trakcie oglądania tej właściwej prezentacji z wizualizacjami Wygenerowanymi przez sztuczną inteligencję. ||   Stwierdzi pani, że coś jest niepotrzebne. Wówczas przerzucamy dany slajd za ten Czarny, który się znajduje. Dodatkowo, jeżeli przyjdzie Pani  coś do głowy, na przykład jakieś treści na slajdzie są zbędne, albo chciałaby pani coś dodać poniżej slajdu mamy widok notatek tam gdzie jest ten napis włóczykj, tam możemy dodawać dokładnie taki sam tryb będzie uruchomiony w tej właściwej prezentacji do badań. ||   i tak to będzie wyglądać || , czyli wzięły nam zostanie z niego. Że jest zbędny","We need it to deliver the content that is. || in this presentation from the ones you'd like to throw out, for example, so if you're doing research while you're watching this proper presentation with the visuals generated by artificial intelligence. || You're going to say something's unnecessary. That's when we switch the slide over to the black one that's there. Additionally, if you come up with something, like some of the content on the slide is unnecessary, or you want to add something under the slide, we have a note view where that wire inscription is, we can add exactly the same mode that will run in that proper presentation for the research. || And that's what it's gonna look like. || Which means we've taken what's left of him. That it's unnecessary"
DR_IT_05:328,IT,DR_IT_05,Descriptive statistics,box plots,True,1,0,tutaj mam dla pani pytanie tak jak pani zinterpretuje wykres pudełkowy dla wysokości trzonu i historam dla szerokości trzonu ,"Here's a question for you, how do you interpret the box diagram for the height of the trunk and the story for the width of the trunk?"," Jaka część grzybów charakteryzuje się po cechą tego celu? ||  Powiedzmy około 2000 będzie mieć to małą średnica kapelusza i to jest dokładnie to samo, tylko na ile tutaj wykresów  || tutaj mam dla pani pytanie tak jak pani zinterpretuje wykres pudełkowy dla wysokości trzonu i historam dla szerokości trzonu  || pudełkowy dla wysokości trzonów centymetrach. ||  A w zasadnicza większość ma wysokość trzonu w okolicy.","What part of the fungus is characterized by this purpose? || Let's say about 2,000 will have this small hat diameter and it's exactly the same, except for how many charts here || Here's a question for you, how do you interpret the box diagram for the height of the trunk and the story for the width of the trunk? || a box for beams of one centimetre in height. || And, basically, most of them have the height of a crow in the vicinity."
DR_IT_05:340,IT,DR_IT_05,Descriptive statistics,box plots,True,1,0," Tak, dokładnie tak","Yeah, that's exactly it."," Po prostu mogę powiedzieć, że to jest taki większy ||  A histogram dla ||  Tak, dokładnie tak ||  Więc wychodzi, że dostajemy na końcu, że tutaj mamy bardzo duży strzał do góry przy konkretnej wartości ||  Ale nie jestem","I can just say it's so much bigger || And the histogram for || Yeah, that's exactly it. || So it turns out that we get at the end that here we have a very large shot up at a specific value || But I'm not."
DR_IT_05:375,IT,DR_IT_05,Anchor,anchor,True,1,0," Czyli co powiedział, że to dla nich nie ma dokładnie taki sam pewności z tego, ale ale wszystkie razem mają 97.","So what he said is that for them, there's not exactly the same degree of certainty, but they all have 97."," Okej. ||  Nowego. ||  Czyli co powiedział, że to dla nich nie ma dokładnie taki sam pewności z tego, ale ale wszystkie razem mają 97. ||  Procent. ||  Wskazania na pewno jak sobie wydane, a w tym momencie.","All right, all right. || It's a new one. || So what he said is that for them, there's not exactly the same degree of certainty, but they all have 97. || It's a percentage. || I'm sure the clues will work out, and right now."
DR_IT_05:441,IT,DR_IT_05,context,context,False,2,0," I tak będę pewnie stawiać sobie takie znaczki, dopóki nie będę w miarę pewna tego, co tutaj się pisze. Ten kolor blaszek biały też moim zdaniem to jest wyraźnie zaznaczone białe kratki przykładami występują może nie jakoś mocno, ale jednak posiadamy.","I'm sure I'll keep putting these stamps on myself until I'm pretty sure what's written here. This color of white flakes is also in my opinion it's clearly marked white bars with examples occurring maybe not somehow strongly, but still we have."," że grzyb jest jadalny ||  no to zaznaczę sobie, że grzyb jest jadalny ||  I tak będę pewnie stawiać sobie takie znaczki, dopóki nie będę w miarę pewna tego, co tutaj się pisze. Ten kolor blaszek biały też moim zdaniem to jest wyraźnie zaznaczone białe kratki przykładami występują może nie jakoś mocno, ale jednak posiadamy. || A takie kolor trzonu Brązowy był przy jadalnych i kolor trzonu biały no był przy jadalnych tak samo. ||  No ale kolor hymenoforu tutaj nie występował, więc pewnie będę musiała znajdować, bez które niekoniecznie spodoba.","That mushroom is edible. || Well, I'll just point out that the mushroom is edible. || I'm sure I'll keep putting these stamps on myself until I'm pretty sure what's written here. This color of white flakes is also in my opinion it's clearly marked white bars with examples occurring maybe not somehow strongly, but still we have. || And that's the color of the brown trout in the dining room and that's the color of the white trout in the dining room. || Well, the color of the hymenophore wasn't here, so I'm probably gonna have to find one that I don't necessarily like without."
DR_IT_05:445,IT,DR_IT_05,context,context,False,1,0," Jego chyba nie było, ale na razie spróbuję przealizować do końca.","I don't think he was, but for now, I'm gonna try to get through it."," No ale kolor hymenoforu tutaj nie występował, więc pewnie będę musiała znajdować, bez które niekoniecznie spodoba. ||  Ale ten chyba hymenofor. ||  Jego chyba nie było, ale na razie spróbuję przealizować do końca. ||  Kształt kapelusza tutaj nie był chyba? ||  blaszki, kolor kapelusza chyba też nie?","Well, the color of the hymenophore wasn't here, so I'm probably gonna have to find one that I don't necessarily like without. || But I think it's the hymenophore. || I don't think he was, but for now, I'm gonna try to get through it. || The shape of the hat wasn't here, was it? || The color of your hat, too, isn't it?"
DR_IT_05:449,IT,DR_IT_05,context,context,False,1,0, Sposób przyrastania blaszek chyba tutaj też nie było.,I don't think there was a way to grow flakes here either.," blaszki, kolor kapelusza chyba też nie? ||  Mleczko nie zmienia koloru brak mleczka i tutaj więc znając, że wypadku i wyjące przyjmującymi. ||  Sposób przyrastania blaszek chyba tutaj też nie było. ||  trzymać blisko. ||  Kolor zarodników ","The color of your hat, too, isn't it? || Milk doesn't change color lack of milk and so here knowing that the accident and challenges the recipients. || I don't think there was a way to grow flakes here either. || Keep it close. || Colour of the embryos"
DR_IT_05:481,IT,DR_IT_05,context,context,False,1,0, Pewna tego wpisu nie mogę być. Było raz.,I can't be sure of that entry. There was one time.," Zastosowałam na pewno więcej, raczej jest dalej. ||  Ale. ||  Pewna tego wpisu nie mogę być. Było raz. ||  Jedną na niejadalne i powiedziałabym, że. ||  Jestem średnio niepewna tego wyboru.","I'm sure I've used more than that, but it's more than that. || Oh, my God. || I can't be sure of that entry. There was one time. || One for non-food and I'd say that. || I'm moderately uncertain about that choice."
DR_IT_05:546,IT,DR_IT_05,context,context,False,1,0,"W jakiej kolejności powinny pani zdaniem być poukładane zaprezentowane materiały, aby były jak najbardziej użyteczne dla pani? Jeśli jakiegoś materiału brakuje, a ma pani choćby ogólny pomysł, co by to mogło być? Bardzo proszę dodać nowy slajd, pisać co tam powinno się znaleźć i dołączyć go do projektowymi układanki. Z kolei jeśli któryś materiał jest pamiętanie niepotrzebne, proszę przenieść go na koniec prezentacji, aby znalazł się za Czarny śnieg o K jest to pamiętam cenie.","In what order do you think the materials presented should be arranged so that they are as useful to you as possible? If something is missing, and you have a general idea, what could it be? Please add a new slide, write down what should be in it, and attach it to the design layout. In turn, if any of the material is memory unnecessary, please move it to the end of the presentation to be found behind Black Snow on K is the memory price.","~  || Opracowaniu dziękuję. Przechodzimy do części 2. || W jakiej kolejności powinny pani zdaniem być poukładane zaprezentowane materiały, aby były jak najbardziej użyteczne dla pani? Jeśli jakiegoś materiału brakuje, a ma pani choćby ogólny pomysł, co by to mogło być? Bardzo proszę dodać nowy slajd, pisać co tam powinno się znaleźć i dołączyć go do projektowymi układanki. Z kolei jeśli któryś materiał jest pamiętanie niepotrzebne, proszę przenieść go na koniec prezentacji, aby znalazł się za Czarny śnieg o K jest to pamiętam cenie. ||  A mogę zmienić kolejność? || tak najbardziej jak najbardziej.","~ You know what ? || Thanks for the paperwork. We're moving on to part two. || In what order do you think the materials presented should be arranged so that they are as useful to you as possible? If something is missing, and you have a general idea, what could it be? Please add a new slide, write down what should be in it, and attach it to the design layout. In turn, if any of the material is memory unnecessary, please move it to the end of the presentation to be found behind Black Snow on K is the memory price. || Can I change the order? || As much as possible."
DR_IT_05:568,IT,DR_IT_05,context,context,False,1,0," On jest troszkę wydane do tego, że nie mówię, co ma znaczenie, tylko jeżelibyśmy to, to ja je zrobiło tak i to. No nie jest potrzebne typami reprezentacji danych, tylko przykładam moim zdaniem.","He's kind of used to not saying what matters, except if we did it, I did it this way and this. Well, there's no need for data representation types, I'm just giving an example of what I think."," No to wykres z wykres wodospadami. ||  Po prostu ten wykres jest wyrwany z kontekstu ||  On jest troszkę wydane do tego, że nie mówię, co ma znaczenie, tylko jeżelibyśmy to, to ja je zrobiło tak i to. No nie jest potrzebne typami reprezentacji danych, tylko przykładam moim zdaniem. ||  [niewyraźnie] ||  To wszystko.","Well, here's a chart with a waterfall chart. || It's just that this graph is taken out of context. || He's kind of used to not saying what matters, except if we did it, I did it this way and this. Well, there's no need for data representation types, I'm just giving an example of what I think. || [laughs] || That's it. That's it."
DR_IT_05:572,IT,DR_IT_05,context,context,False,1,0," Co pani zdaniem należy doprawić przygotowanych materiałów, aby były one bardziej użyteczne dla pani? Może jeszcze coś się pojawiło?",How do you feel that the materials you have prepared should be made more useful to you? Maybe something else came up.," To wszystko. || dobra czy jeszcze… ok. W. Takim razie jeżeli tutaj wszystko to jeszcze pani daje część 3. ||  Co pani zdaniem należy doprawić przygotowanych materiałów, aby były one bardziej użyteczne dla pani? Może jeszcze coś się pojawiło? ||  Tak tak na sam koniec. ||  Znaczy moim zdaniem to oczywiście sobie tylko bardzo się nie lubimy, bo naprawdę tego czytaniem, co w ogóle oznaczają te wartości tutaj, czytałam to legendy już kilka razy i dalej nie do końca rozumiem jak do końca [niewyraźne] momentami. I też fajnie było, gdyby jeżeli to miał być faktycznie użyteczne. Dla mnie tak nawet codzienne, to gdyby te cechy tego typu, nawet jeżeli byłyby mniej znaczące, żeby były w jakiś sposób opisane, co oznaczają","That's it. That's it. || Good or bad? I got it. W. W. So if this is all here, you're still going to give me part three. || How do you feel that the materials you have prepared should be made more useful to you? Maybe something else came up. || That's the end of it. || I mean, in my opinion, of course, we just don't like each other very much, because really, by reading what these values mean here, I've read these legends a few times already and I still don't quite understand how to end up with these moments. And it's also nice if it's actually going to be useful. To me, even everyday, if these traits of this kind, even if they were less significant, were to be described in some way, what they mean"
DR_IT_05:574,IT,DR_IT_05,context,context,False,3,0," Znaczy moim zdaniem to oczywiście sobie tylko bardzo się nie lubimy, bo naprawdę tego czytaniem, co w ogóle oznaczają te wartości tutaj, czytałam to legendy już kilka razy i dalej nie do końca rozumiem jak do końca [niewyraźne] momentami. I też fajnie było, gdyby jeżeli to miał być faktycznie użyteczne. Dla mnie tak nawet codzienne, to gdyby te cechy tego typu, nawet jeżeli byłyby mniej znaczące, żeby były w jakiś sposób opisane, co oznaczają","I mean, in my opinion, of course, we just don't like each other very much, because really, by reading what these values mean here, I've read these legends a few times already and I still don't quite understand how to end up with these moments. And it's also nice if it's actually going to be useful. To me, even everyday, if these traits of this kind, even if they were less significant, were to be described in some way, what they mean"," Co pani zdaniem należy doprawić przygotowanych materiałów, aby były one bardziej użyteczne dla pani? Może jeszcze coś się pojawiło? ||  Tak tak na sam koniec. ||  Znaczy moim zdaniem to oczywiście sobie tylko bardzo się nie lubimy, bo naprawdę tego czytaniem, co w ogóle oznaczają te wartości tutaj, czytałam to legendy już kilka razy i dalej nie do końca rozumiem jak do końca [niewyraźne] momentami. I też fajnie było, gdyby jeżeli to miał być faktycznie użyteczne. Dla mnie tak nawet codzienne, to gdyby te cechy tego typu, nawet jeżeli byłyby mniej znaczące, żeby były w jakiś sposób opisane, co oznaczają ||  Czy to jest? ||  No tak teraz się opieramy tej wysokości szerokości średnicy, które nie są aż tak bardzo wiarygodne i mam wszystko w mojej opinii i to nie są takie cechy zerojedynkowe, tylko to jest takie, no mniej więcej nie widzę 3,48 cm wyprawia jest bardzo dokładne, jeżeli chodzi o mierzenie czegokolwiek, są jednostki w milimetrach no to 5 kropka 2 milimetra to nawet nie wiem czy mam metr którym to zmierzyła, więc po prostu skupiają się troszkę bardziej na tych cechach mniej istotnych statystycznie, ale bardziej istotnych [niewyraźne].","How do you feel that the materials you have prepared should be made more useful to you? Maybe something else came up. || That's the end of it. || I mean, in my opinion, of course, we just don't like each other very much, because really, by reading what these values mean here, I've read these legends a few times already and I still don't quite understand how to end up with these moments. And it's also nice if it's actually going to be useful. To me, even everyday, if these traits of this kind, even if they were less significant, were to be described in some way, what they mean || Is that it? Is that it? || Well, now we're basing it on this height of the width of the diameter that's not very reliable and I have everything in my opinion and it's not that zero-one characteristic, it's just that it's like, well, I don't see about 3.48 centimeters of it, it's very accurate when it comes to measuring anything, there are units in millimeters, so 5 points of 2 millimeters, so I don't even know if I have the meter that it's measured. So they're just focusing a little bit more on those traits that are less statistically important, but more important."
